LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 38094, 0, 18.239215821389195, 49.75328947368421, 18.238737038981494,
1, 19089, 0, 34.37057991513437, 49.52445652173913, 34.368779465688846,
2, 19089, 0, 34.37057991513437, 49.52445652173913, 34.368779465688846,
3, 19089, 0, 34.37057991513437, 49.52445652173913, 34.368779465688846,
4, 19089, 0, 34.37057991513437, 49.52445652173913, 34.368779465688846,
5, 5809, 0, 60.73334480977793, 87.5, 60.722891566265055,
6, 8435, 0, 72.12803793716657, 88.02083333333334, 72.11948790896159,
7, 2225, 0, 18.89887640449438, 93.86160714285714, 18.890386343216534,
8, 8435, 0, 72.12803793716657, 88.02083333333334, 72.11948790896159,
9, 8435, 0, 72.12803793716657, 88.02083333333334, 72.11948790896159,
10, 5623, 0, 62.74230837631158, 76.5625, 62.73115220483641,
11, 10231, 0, 50.66953376991496, 56.25, 50.6645817044566,
12, 1527, 0, 29.469548133595286, 87.890625, 29.450261780104714,
13, 10231, 0, 50.66953376991496, 56.25, 50.6645817044566,
14, 10231, 0, 50.66953376991496, 56.25, 50.6645817044566,
15, 10231, 0, 34.48343270452546, 38.28125, 34.4800625488663,
16, 19447, 0, 18.511852727927188, 19.53125, 18.51090086384204,
17, 2039, 0, 25.110348209906817, 50.0, 25.098039215686274,
18, 19447, 0, 18.511852727927188, 19.53125, 18.51090086384204,
19, 19447, 0, 18.511852727927188, 19.53125, 18.51090086384204,
20, 6127, 0, 0.510037538762853, 0.762939453125, 0.5099543080939948,
