config,Total Cycles,Stall Cycles,Overall Util %,Mapping Efficiency %,Compute Util %
128_128_ws,1653885.0,0.0,24.080250635794112,30.558282260237068,22.8400184243054
32_32_ws,8184219.0,0.0,34.107785531720445,36.64803340517241,33.46411285501848
16_16_ws,26272140.0,0.0,37.23134074352124,38.83351293103448,36.81526550759093
64_64_os,3717462.0,0.0,27.002571424858782,37.02089395403988,27.00226327568722
12_12_ws,46322842.0,0.0,37.32317440063265,38.66379905447663,36.97991463726406
64_64_ws,3104244.0,0.0,30.98883384784042,35.1318359375,30.042369778522104
256_256_is,3014159.0,0.0,9.245881149049316,76.31881497060142,7.701929659687425
128_128_os,2152073.0,0.0,19.643354815541297,32.15074223456461,19.642660525538485
32_32_os,9139912.0,0.0,31.50886394283567,39.751162808664645,31.508726283963412
64_64_is,8157016.0,0.0,19.63915144092217,88.25353128380739,17.565316849240393
256_256_ws,1136824.0,0.0,14.616405713050463,23.857074606007544,13.26805713552312
32_32_os_5x5,19379574.0,0.0,32.372836424690455,39.70351282945206,32.37271962130818
128_128_is,4550419.0,0.0,14.335141101949356,83.33008314283418,12.38146376550663
256_256_os,1580209.0,0.0,12.4432229888737,26.21744867793871,12.441849301390612
32_32_is,17319471.0,0.0,24.754752033610327,91.07414109519762,22.79194878951111
32_32_os_7x7,33830960.0,0.0,32.58309539403565,39.6338865094049,32.58298435459542
