config,Avg IFMAP SRAM BW,Avg FILTER SRAM BW,Avg OFMAP SRAM BW,Avg IFMAP DRAM BW,Avg FILTER DRAM BW,Avg OFMAP DRAM BW
128_128_ws,51.96827025948486,10.512121060562778,29.225641420314787,41.97134014884249,14.5314987429138,82.42788939730592
32_32_ws,22.67570261292072,1.4830651908530277,12.716614751969695,21.26654568569,7.095081422992649,17.389116610274115
16_16_ws,12.867846301001824,0.5019114679155505,7.334508664053159,12.48970172272362,6.137601698004385,8.747338656951968
12_12_os,10.61149630323478,5.754021258031148,0.4952626028895925,7.60675260186788,6.167998616922414,6.0011848897886315
64_64_os,39.42882166532512,21.025063680801196,5.535744080059397,30.775597165775363,18.875443440747212,30.310996397041816
12_12_ws,9.840047512546237,0.3105093911058953,5.634327223473561,9.682736155046442,5.952410675231727,7.242449599660232
64_64_ws,35.85965042337262,4.109236346898925,20.256297125830013,31.707011946300153,9.511946563255917,42.006554153109256
256_256_is,38.282395112855426,38.51478550266994,26.944821310186914,33.413298020875814,31.874714012640432,140.81943370685394
128_128_os,58.26202310946766,32.50506429448493,12.243400148500951,45.83758871474865,28.037940194280196,55.17938890779865
32_32_os,23.87283123423023,12.793304077078458,2.2801344760492315,17.49655193537857,8.490896611372236,15.764215874357582
16_16_os,13.592478427829612,7.417333615678069,0.8127725046043197,9.340386844347028,6.3275342569637205,8.026761236900503
12_12_is,2.174231756200796,5.323762670850261,5.246631920303101,1.1999345386897426,9.738211747398177,5.7938647675992945
64_64_is,11.476249504744564,19.605043188344368,16.54350878892534,9.446223330864257,21.378526283250626,38.075451807494545
256_256_ws,64.07544778695134,23.794945619561,33.47505692004225,49.746184745666326,24.07153866010468,149.67184372036823
128_128_is,20.829822229671503,29.19330954801646,21.934973075447672,17.87143551487875,27.765509365794372,74.05852637418468
256_256_os,88.57432364893057,45.14641566533308,23.57100681440891,65.0937651904133,32.96914671597821,109.70654710020062
16_16_is,2.941008935985654,6.987056134063844,6.561503835408879,1.5569771765858127,11.03109622772678,7.856720904867548
32_32_is,5.959926732225654,12.176048165454777,10.90794539566359,4.074874389744214,15.338278383162695,14.83428318214651
