LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 48.24378203911145, 0.2551737231820771, 63.01228674496189, 10.501364200082678, 9.830721003134796, 63.762844439565264,
1, 60.08714628125782, 1.3187851035667013, 60.08714628125782, 56.83018101844019, 1.3779904306220097, 60.98166569851873,
2, 60.08714628125782, 1.3187851035667013, 60.08714628125782, 56.83018101844019, 1.3779904306220097, 60.98166569851873,
3, 60.08714628125782, 1.3187851035667013, 60.08714628125782, 56.83018101844019, 1.3779904306220097, 60.98166569851873,
4, 60.08714628125782, 1.3187851035667013, 60.08714628125782, 56.83018101844019, 1.3779904306220097, 60.98166569851873,
5, 51.518338942444814, 4.205578689179168, 51.518338942444814, 46.62852308180424, 3.9937164833974323, 51.98751007252216,
6, 49.96003207698476, 4.729943865276664, 49.96003207698476, 47.66945184096961, 4.5778150321318805, 50.44914815054739,
7, 52.23095584667637, 3.974769529354682, 52.23095584667637, 28.031284916201116, 9.671782762691853, 57.97147470398278,
8, 49.96003207698476, 4.729943865276664, 49.96003207698476, 47.66945184096961, 4.5778150321318805, 50.44914815054739,
9, 49.96003207698476, 4.729943865276664, 49.96003207698476, 47.66945184096961, 4.5778150321318805, 50.44914815054739,
10, 32.49857867654996, 10.611780792342845, 32.49857867654996, 29.661979597463468, 10.064225505920895, 32.91178399650197,
11, 27.593388086079635, 12.263728038257614, 27.593388086079635, 26.679211145286775, 11.879398199432035, 27.888104393872535,
12, 34.70924977402832, 9.872853269056945, 34.70924977402832, 20.699669966996698, 9.274837248797056, 41.82256894049347,
13, 27.593388086079635, 12.263728038257614, 27.593388086079635, 26.679211145286775, 11.879398199432035, 27.888104393872535,
14, 27.593388086079635, 12.263728038257614, 27.593388086079635, 26.679211145286775, 11.879398199432035, 27.888104393872535,
15, 13.121529543374352, 17.138324301550174, 13.121529543374352, 10.998777594017401, 16.740669258933387, 13.338910712703429,
16, 7.441920558144042, 19.051316628848745, 7.441920558144042, 3.645916103827308, 18.826924151139128, 7.58002648222319,
17, 16.127968500061524, 16.127968500061524, 16.127968500061524, 9.73913043478261, 13.451559934318555, 18.857492090882946,
18, 7.441920558144042, 19.051316628848745, 7.441920558144042, 3.645916103827308, 18.826924151139128, 7.58002648222319,
19, 7.441920558144042, 19.051316628848745, 7.441920558144042, 3.645916103827308, 18.826924151139128, 7.58002648222319,
20, 0.33509224035669, 20.943265022293122, 0.32723851597333004, 6.918918918918919, 20.360281544518234, 64.0,
