LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 485839, 0, 91.52723433071449, 91.875, 91.41415179672725,
1, 426527, 0, 98.44722608416349, 100.0, 97.95095733960362,
2, 426527, 0, 98.44722608416349, 100.0, 97.95095733960362,
3, 426527, 0, 98.44722608416349, 100.0, 97.95095733960362,
4, 426527, 0, 98.44722608416349, 100.0, 97.95095733960362,
5, 239039, 0, 94.45822648187116, 100.0, 92.78106508875739,
6, 415871, 0, 93.62903400333276, 100.0, 91.72320217096338,
7, 28383, 0, 94.81732022689638, 100.0, 93.23725055432372,
8, 415871, 0, 93.62903400333276, 100.0, 91.72320217096338,
9, 415871, 0, 93.62903400333276, 100.0, 91.72320217096338,
10, 278783, 0, 80.99202605610816, 100.0, 76.26459143968872,
11, 437759, 0, 75.78964681479992, 100.0, 70.24390243902438,
12, 34687, 0, 83.02822383025341, 100.0, 78.67132867132867,
13, 437759, 0, 75.78964681479992, 100.0, 70.24390243902438,
14, 437759, 0, 75.78964681479992, 100.0, 70.24390243902438,
15, 437759, 0, 51.579065193405505, 100.0, 44.54545454545455,
16, 654335, 0, 35.211321417928126, 100.0, 29.069767441860467,
17, 56319, 0, 58.18285125801239, 100.0, 51.2,
18, 654335, 0, 35.211321417928126, 100.0, 29.069767441860467,
19, 654335, 0, 35.211321417928126, 100.0, 29.069767441860467,
20, 94751, 0, 2.110795664425705, 99.20634920634922, 1.6001024065540195,
