LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 24617.0, 1778700, 1.0, 12610.0, 9408, 255.0, 24899.0, 1548800, -1712.0, 24522.0, 239764, -957.0, -1.0, 9408, 574.0, 24967.0, 1548927,
1, 129.0, 16299.0, 1679616, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -1712.0, 16247.0, 1105426, -1840.0, 13319.0, 36864, 574.0, 16579.0, 933247,
2, 129.0, 16299.0, 1679616, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -1712.0, 16247.0, 1105426, -1840.0, 13319.0, 36864, 574.0, 16579.0, 933247,
3, 129.0, 16299.0, 1679616, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -1712.0, 16247.0, 1105426, -1840.0, 13319.0, 36864, 574.0, 16579.0, 933247,
4, 129.0, 16299.0, 1679616, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -1712.0, 16247.0, 1105426, -1840.0, 13319.0, 36864, 574.0, 16579.0, 933247,
5, 129.0, 5610.0, 451584, 1.0, 4792.0, 73728, 255.0, 5829.0, 501760, -1712.0, 5293.0, 440896, -1840.0, 4791.0, 73728, 462.0, 5861.0, 501887,
6, 129.0, 9395.0, 778752, 1.0, 8592.0, 147456, 255.0, 9521.0, 778752, -1712.0, 9287.0, 778752, -1840.0, 8590.0, 147456, 462.0, 9557.0, 778879,
7, 129.0, 1002.0, 53824, 65.0, 128.0, 8192, 255.0, 1222.0, 107648, -1712.0, 755.0, 50176, -847.0, -1.0, 8192, 462.0, 1343.0, 107775,
8, 129.0, 9395.0, 778752, 1.0, 8592.0, 147456, 255.0, 9521.0, 778752, -1712.0, 9287.0, 778752, -1840.0, 8590.0, 147456, 462.0, 9557.0, 778879,
9, 129.0, 9395.0, 778752, 1.0, 8592.0, 147456, 255.0, 9521.0, 778752, -1712.0, 9287.0, 778752, -1840.0, 8590.0, 147456, 462.0, 9557.0, 778879,
10, 129.0, 10262.0, 451584, 1.0, 9954.0, 294912, 255.0, 10403.0, 451584, -1712.0, 10140.0, 430336, -1840.0, 9950.0, 294912, 463.0, 10475.0, 451711,
11, 129.0, 18809.0, 663552, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -1712.0, 18762.0, 663552, -1840.0, 18530.0, 589824, 781.0, 19079.0, 663679,
12, 129.0, 1071.0, 57600, 1.0, 735.0, 32768, 255.0, 1213.0, 57600, -1712.0, 897.0, 50176, -1840.0, 623.0, 32768, 462.0, 1231.0, 57727,
13, 129.0, 18809.0, 663552, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -1712.0, 18762.0, 663552, -1840.0, 18530.0, 589824, 781.0, 19079.0, 663679,
14, 129.0, 18809.0, 663552, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -1712.0, 18762.0, 663552, -1840.0, 18530.0, 589824, 781.0, 19079.0, 663679,
15, 129.0, 30897.0, 451584, 1.0, 30729.0, 1179648, 255.0, 31031.0, 451584, -1712.0, 29903.0, 381952, -1840.0, 30713.0, 1179648, 1265.0, 31103.0, 451711,
16, 129.0, 58481.0, 460800, 1.0, 58329.0, 2359296, 255.0, 58607.0, 460800, -1712.0, 53996.0, 219685, -1840.0, 58297.0, 2359296, 2399.0, 58751.0, 460927,
17, 129.0, 3432.0, 65536, 1.0, 3250.0, 131072, 255.0, 3567.0, 65536, -1288.0, -1.0, 12544, -1840.0, 3233.0, 131072, 1210.0, 3647.0, 65663,
18, 129.0, 58481.0, 460800, 1.0, 58329.0, 2359296, 255.0, 58607.0, 460800, -1712.0, 53996.0, 219685, -1840.0, 58297.0, 2359296, 2399.0, 58751.0, 460927,
19, 129.0, 58481.0, 460800, 1.0, 58329.0, 2359296, 255.0, 58607.0, 460800, -1712.0, 53996.0, 219685, -1840.0, 58297.0, 2359296, 2399.0, 58751.0, 460927,
20, 129.0, 12129.0, 4096, 1.0, 12001.0, 512000, 255.0, 12231.0, 4000, -74.0, -1.0, 512, -1840.0, 11600.0, 512000, 12255.0, 12286.0, 4000,
