LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 27537, 0, 2.402222464320732, 25.0, 2.4021352313167257,
1, 51489, 0, 0.4130888393637476, 0.7773951480263158, 0.41308081666342983,
2, 28027, 0, 5.5946052021265205, 50.0, 5.594405594405594,
3, 20749, 0, 0.531350908477517, 0.765625, 0.5313253012048192,
4, 7949, 0, 19.725751666876338, 98.0, 19.723270440251575,
5, 32337, 0, 0.6340453659894238, 0.773819633152174, 0.6340257591687798,
6, 9549, 0, 32.84113519740287, 98.0, 32.83769633507853,
7, 9841, 0, 0.5601564881617722, 0.68359375, 0.560099573257468,
8, 5347, 0, 29.324855058911538, 87.5, 29.31937172774869,
9, 15347, 0, 0.6194207336938815, 0.6876627604166667, 0.6193803752931979,
10, 7139, 0, 43.92772096932343, 87.5, 43.921568627450974,
11, 5115, 0, 0.5388563049853372, 0.59814453125, 0.5387509773260359,
12, 4079, 0, 38.440794312331455, 76.5625, 38.431372549019606,
13, 9723, 0, 0.41653810552298676, 0.439453125, 0.4164952694364459,
14, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
15, 9723, 0, 0.41653810552298676, 0.439453125, 0.4164952694364459,
16, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
17, 9723, 0, 0.41653810552298676, 0.439453125, 0.4164952694364459,
18, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
19, 9723, 0, 0.41653810552298676, 0.439453125, 0.4164952694364459,
20, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
21, 9723, 0, 0.41653810552298676, 0.439453125, 0.4164952694364459,
22, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
23, 4861, 0, 0.2835064801481177, 0.299072265625, 0.2834481694775812,
24, 6127, 0, 25.59164354496491, 38.28125, 25.587467362924283,
25, 9469, 0, 0.053463934945611996, 0.054931640625, 0.05345828933474129,
26, 10223, 0, 30.675926831654113, 38.28125, 30.672926447574334,
