LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 502954.0, 753003, 1.0, 503723.0, 5883, 2.0, 503849.0, 753017, -1840.0, 493505.0, 750000, -37.0, -1.0, 3, 37010.0, 504065.0, 251128,
1, 1.0, 125961.0, 189003, 1.0, 126478.0, 47328, 2.0, 126604.0, 2142240, -1840.0, 123629.0, 187500, -37.0, -1.0, 96, 1109.0, 126755.0, 2016159,
2, 1.0, 260511.0, 17713152, 1.0, 260448.0, 138528, 287.0, 260574.0, 184640, -1840.0, 260194.0, 6630302, -37.0, -1.0, 288, 78335.0, 260750.0, 61631,
3, 1.0, 260511.0, 17713152, 1.0, 260511.0, 8865792, 287.0, 260637.0, 4059392, -1840.0, 260194.0, 6630302, -1840.0, 260239.0, 8865792, 1434.0, 260781.0, 3936383,
4, 1.0, 101651.0, 9000000, 1.0, 101899.0, 4534272, 575.0, 102025.0, 1031488, -1840.0, 100854.0, 6722414, -1840.0, 101745.0, 4534272, 2298.0, 102126.0, 1000127,
5, 1.0, 98540.0, 8714304, 1.0, 98643.0, 8773632, 575.0, 98769.0, 1966976, -1840.0, 97563.0, 2184299, -1840.0, 98461.0, 8773632, 1468.0, 98778.0, 1936639,
6, 1.0, 167084.0, 17428608, 1.0, 167060.0, 137088, 1151.0, 167186.0, 45593, -1840.0, 165994.0, 8695082, -148.0, -1.0, 1152, 167313.0, 167431.0, 15129,
7, 1.0, 46740.0, 2000000, 1.0, 46859.0, 2015232, 127.0, 46985.0, 2031488, -1840.0, 46319.0, 2000000, -1656.0, -1.0, 16384, 572.0, 47058.0, 2000127,
8, 1.0, 43335.0, 4428288, 1.0, 43332.0, 35712, 1151.0, 43458.0, 11780, -1840.0, 42031.0, 4419689, -148.0, -1.0, 1152, 43585.0, 43615.0, 3844,
9, 1.0, 86921.0, 8856576, 1.0, 87045.0, 9142272, 1151.0, 87171.0, 999936, -1840.0, 85250.0, 2243776, -1840.0, 86858.0, 9142272, 2620.0, 87227.0, 984191,
10, 1.0, 79047.0, 8856576, 1.0, 79044.0, 71424, 2303.0, 79170.0, 11780, -1840.0, 78950.0, 8850782, -258.0, -1.0, 2304, 79297.0, 79327.0, 3844,
11, 1.0, 79047.0, 8856576, 1.0, 79044.0, 71424, 2303.0, 79170.0, 11780, -1840.0, 78950.0, 8850782, -258.0, -1.0, 2304, 79297.0, 79327.0, 3844,
12, 1.0, 4366.0, 278784, 1.0, 4336.0, 2304, 255.0, 4462.0, 3393, -1840.0, 4205.0, 262144, -37.0, -1.0, 256, 4589.0, 4597.0, 1089,
13, 1.0, 16193.0, 1048576, 1.0, 16193.0, 1048576, 255.0, 16319.0, 532480, -1840.0, 15988.0, 1048576, -1840.0, 15988.0, 1048576, 828.0, 16383.0, 524415,
