LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 6.608073568720287, 5.877589245647465, 3.1003960692243155, 3.054447552081972, 7.783783783783784, 2.700267054130594,
1, 11.141056750716936, 0.9290352282209413, 0.11610382718062336, 2.086893159668458, 7.783783783783784, 11.992071357779981,
2, 7.106599823548331, 6.321006305639076, 2.813312363714691, 7.117352411854926, 9.266968325791856, 2.4122320207923322,
3, 11.529191000478699, 0.9632168501675443, 0.060149992021700974, 7.715417471712988, 7.783783783783784, 11.969465648854962,
4, 8.907545259046765, 8.659654389128953, 1.898624576862712, 8.916791198494309, 9.671782762691853, 1.6868045517195012,
5, 11.775169043855007, 0.9812640869879172, 0.030664502718372413, 4.328232772935916, 7.783783783783784, 12.0,
6, 10.213967647392199, 9.929719939208741, 1.088542883513494, 10.214298437373492, 9.893719806763285, 0.9692178053350331,
7, 11.65633751919776, 0.9812733115651175, 0.030561542531910225, 7.652182885148642, 7.783783783783784, 11.878787878787879,
8, 10.136612197484837, 9.929742560801474, 1.0815109343936382, 10.138241398945647, 0.3091104236378559, 1.00444887051735,
9, 11.747565639118728, 0.9905491737126738, 0.015416990368152299, 4.307897255292271, 8.930232558139535, 11.859649122807017,
10, 10.938767016387757, 10.71552687319617, 0.5835478316879513, 10.937872812667209, 0.21052346360086815, 0.5436926077416908,
11, 11.42065198148757, 0.9905667534963709, 0.015275283882552287, 8.035838944620036, 8.930232558139535, 11.529411764705882,
12, 10.617064517240191, 10.964751964648627, 0.5801483143634637, 10.554015780385559, 0.812970529609032, 0.6012028489789562,
13, 11.943195521877644, 0.9952662934898037, 0.007775517917889091, 4.051096319498825, 9.620041753653444, 12.0,
14, 11.05444559155431, 11.416456386911333, 0.3020240653972174, 11.03618167821401, 1.0517323935569134, 0.3136098742285759,
15, 11.943195521877644, 0.9952662934898037, 0.007775517917889091, 4.051096319498825, 9.620041753653444, 12.0,
16, 11.05444559155431, 11.416456386911333, 0.3020240653972174, 11.03618167821401, 1.0517323935569134, 0.3136098742285759,
17, 11.943195521877644, 0.9952662934898037, 0.007775517917889091, 4.051096319498825, 9.620041753653444, 12.0,
18, 11.05444559155431, 11.416456386911333, 0.3020240653972174, 11.03618167821401, 1.0517323935569134, 0.3136098742285759,
19, 11.943195521877644, 0.9952662934898037, 0.007775517917889091, 4.051096319498825, 9.620041753653444, 12.0,
20, 11.05444559155431, 11.416456386911333, 0.3020240653972174, 11.03618167821401, 1.0517323935569134, 0.3136098742285759,
21, 11.943195521877644, 0.9952662934898037, 0.007775517917889091, 4.051096319498825, 9.620041753653444, 12.0,
22, 11.05444559155431, 11.416456386911333, 0.3020240653972174, 11.03618167821401, 1.0517323935569134, 0.3136098742285759,
23, 9.75385545811914, 0.9952913732774634, 0.007300531340446672, 7.6606844952226885, 9.620041753653444, 9.8,
24, 9.396295602715803, 11.416476859493335, 0.2634625183456073, 9.358108225333542, 3.446003962283299, 0.3416289438752936,
25, 8.97953881130237, 0.9977265345891523, 0.0035725885027606367, 8.275266886161829, 9.630094043887148, 9.0,
26, 9.593902783366943, 11.656569115054282, 0.1345016107910774, 9.592388573969101, 3.5364928137367664, 0.17506217712370195,
