LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 1023125, 0, 77.26654449195684, 88.83015820577762, 77.26646897188941,
1, 871883, 0, 85.61882729678179, 88.88888888888889, 85.61872909698997,
2, 871883, 0, 85.61882729678179, 88.88888888888889, 85.61872909698997,
3, 871883, 0, 85.61882729678179, 88.88888888888889, 85.61872909698997,
4, 871883, 0, 85.61882729678179, 88.88888888888889, 85.61872909698997,
5, 434147, 0, 92.45900582060915, 95.99020508111418, 92.45879285404978,
6, 736097, 0, 94.03978008333141, 95.83554846712742, 94.03965232890185,
7, 67165, 0, 71.23286764766702, 95.71774078816333, 71.23180709816806,
8, 736097, 0, 94.03978008333141, 95.83554846712742, 94.03965232890185,
9, 736097, 0, 94.03978008333141, 95.83554846712742, 94.03965232890185,
10, 439075, 0, 91.4212833798326, 93.16696375519905, 91.42107516694148,
11, 614063, 0, 96.05268514794085, 96.96969696969697, 96.05252872664738,
12, 62699, 0, 81.65999457726599, 95.69377990430623, 81.658692185008,
13, 614063, 0, 96.05268514794085, 96.96969696969697, 96.05252872664738,
14, 614063, 0, 96.05268514794085, 96.96969696969697, 96.05252872664738,
15, 500089, 0, 80.26731241838952, 81.03359173126616, 80.26715191265572,
16, 597269, 0, 68.57881457098895, 68.90611541774332, 68.57869975053158,
17, 71723, 0, 81.2211176640997, 88.19982773471146, 81.21998525210839,
18, 597269, 0, 68.57881457098895, 68.90611541774332, 68.57869975053158,
19, 597269, 0, 68.57881457098895, 68.90611541774332, 68.57869975053158,
20, 44855, 0, 7.926776402977495, 8.267195767195766, 7.926599686899312,
