LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 29.173603195040144, 0.07715333076374253, 31.753581708887232, 11.083554081152675, 0.08499182423459478, 31.838694558192312,
1, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 30.772342530504563, 0.34678883547661826, 31.064593389927683,
2, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 30.772342530504563, 0.34678883547661826, 31.064593389927683,
3, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 30.772342530504563, 0.34678883547661826, 31.064593389927683,
4, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 30.772342530504563, 0.34678883547661826, 31.064593389927683,
5, 28.574483904136677, 1.1663054654749663, 28.574483904136677, 27.631987966909, 1.1649785895997598, 28.609822927555513,
6, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 27.92376786130484, 1.3277745261356986, 28.113562932077038,
7, 28.786736194678433, 1.0953336007487633, 28.786736194678433, 24.92907713327537, 9.893719806763285, 29.83194790800776,
8, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 27.92376786130484, 1.3277745261356986, 28.113562932077038,
9, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 27.92376786130484, 1.3277745261356986, 28.113562932077038,
10, 21.627845160981334, 3.531076760976544, 21.627845160981334, 20.415147597756086, 3.503891073698718, 21.672589624226138,
11, 19.361485771809143, 4.302552393735366, 19.361485771809143, 19.27417433990763, 4.28760222440301, 19.397085583577542,
12, 22.572744195160183, 3.2103458410894485, 22.572744195160183, 18.801311475409836, 3.5440190352584904, 22.9604424073336,
13, 19.361485771809143, 4.302552393735366, 19.361485771809143, 19.27417433990763, 4.28760222440301, 19.397085583577542,
14, 19.361485771809143, 4.302552393735366, 19.361485771809143, 19.27417433990763, 4.28760222440301, 19.397085583577542,
15, 10.965101526694388, 7.1608826296779675, 10.965101526694388, 9.89718621256237, 7.138133849691395, 11.001955099703995,
16, 6.722713595331449, 8.605073402024255, 6.722713595331449, 6.713335615789742, 8.593820801795042, 6.750179445111769,
17, 12.962666271077486, 6.481333135538743, 12.962666271077486, 9.847120007850064, 6.333204483958252, 13.369454360020399,
18, 6.722713595331449, 8.605073402024255, 6.722713595331449, 6.713335615789742, 8.593820801795042, 6.750179445111769,
19, 6.722713595331449, 8.605073402024255, 6.722713595331449, 6.713335615789742, 8.593820801795042, 6.750179445111769,
20, 0.33684903061329385, 10.526532206665433, 0.3289541314582948, 9.142857142857142, 10.698762955533267, 0.7480983713659061,
