LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 505937, 0, 0.036336267765922435, 1.5624564256916114, 0.03633619594631654,
1, 127064, 0, 1.1620804771611157, 49.96906725888325, 1.162071331601936,
2, 397853, 0, 1.0869592537947432, 1.5625, 1.0869565217391304,
3, 397853, 0, 69.56539224286357, 100.0, 69.56521739130434,
4, 171989, 0, 81.76395002005943, 99.64923469387756, 81.76347462061747,
5, 332747, 0, 81.84055754071412, 99.74287974683544, 81.84031158714703,
6, 302885, 0, 1.4048339303696122, 1.5584824960443038, 1.40482929220895,
7, 124459, 0, 50.21734065033465, 99.64923469387756, 50.21693716856821,
8, 77957, 0, 1.3868222225072797, 1.5384861680327868, 1.386804433156315,
9, 311831, 0, 88.75576834888129, 98.46311475409836, 88.75548372200416,
10, 148229, 0, 1.4587226521126095, 1.5384861680327868, 1.4587128111718277,
11, 148229, 0, 1.4587226521126095, 1.5384861680327868, 1.4587128111718277,
12, 6875, 0, 0.99, 1.47705078125, 0.9898560209424083,
13, 48895, 0, 67.0170774107782, 100.0, 67.01570680628272,
14, 10207, 0, 1.2540413441755658, 1.5625, 1.2539184952978055,
15, 71009, 0, 1.4258755932346603, 1.46484375, 1.4258555133079849,
16, 81663, 0, 80.25176640583862, 100.0, 80.25078369905955,
17, 10207, 0, 1.2540413441755658, 1.5625, 1.2539184952978055,
18, 10207, 0, 1.2540413441755658, 1.5625, 1.2539184952978055,
19, 81663, 0, 80.25176640583862, 100.0, 80.25078369905955,
20, 71009, 0, 1.4258755932346603, 1.46484375, 1.4258555133079849,
21, 10207, 0, 1.2540413441755658, 1.5625, 1.2539184952978055,
22, 71009, 0, 1.4258755932346603, 1.46484375, 1.4258555133079849,
23, 81663, 0, 80.25176640583862, 100.0, 80.25078369905955,
24, 18935, 0, 1.5209928703459203, 1.5625, 1.520912547528517,
25, 40831, 0, 80.25274913668537, 100.0, 80.25078369905955,
26, 9341, 0, 1.5415908360989188, 1.5625, 1.5414258188824663,
27, 37367, 0, 1.180185725372655, 1.1962890625, 1.1801541425818882,
28, 9341, 0, 0.3853977090247297, 0.390625, 0.3853564547206166,
