LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 251094, 0, 0.29286024046273507, 0.29296875, 0.29282292243236463,
1, 63094, 0, 9.361181332614828, 9.375, 9.356435937648513,
2, 1515249, 0, 3.1201554991951816, 3.125, 3.1185584010817764,
3, 3030499, 0, 99.84494302753441, 100.0, 99.79386883461684,
4, 1546999, 0, 99.39243658205338, 100.0, 99.19360041287659,
5, 2946999, 0, 99.36209683138678, 100.0, 99.15346065285114,
6, 1473499, 0, 3.105066579617631, 3.125, 3.098545645401598,
7, 251503, 0, 99.40239281439983, 100.0, 99.20634920634922,
8, 381499, 0, 3.0480093001554396, 3.125, 3.023433437337493,
9, 2955199, 0, 97.45536594997495, 100.0, 96.64429530201343,
10, 738799, 0, 3.04548327758971, 3.125, 3.0201342281879198,
11, 738799, 0, 3.04548327758971, 3.125, 3.0201342281879198,
12, 9463, 0, 2.8769946105886084, 3.125, 2.8032331136738056,
13, 143103, 0, 91.59276884481807, 100.0, 89.12097476066144,
14, 17887, 0, 2.862414043718902, 3.125, 2.78503046127067,
15, 351199, 0, 2.7904407472686428, 3.125, 2.695269526952695,
16, 286207, 0, 91.59244882200645, 100.0, 89.12097476066144,
17, 17887, 0, 2.862414043718902, 3.125, 2.78503046127067,
18, 17887, 0, 2.862414043718902, 3.125, 2.78503046127067,
19, 286207, 0, 91.59244882200645, 100.0, 89.12097476066144,
20, 351199, 0, 2.7904407472686428, 3.125, 2.695269526952695,
21, 17887, 0, 2.862414043718902, 3.125, 2.78503046127067,
22, 351199, 0, 2.7904407472686428, 3.125, 2.695269526952695,
23, 286207, 0, 91.59244882200645, 100.0, 89.12097476066144,
24, 127599, 0, 2.2041708790821244, 3.125, 2.0089285714285716,
25, 179199, 0, 73.14326530840016, 100.0, 67.19160104986877,
26, 114399, 0, 1.070813556062553, 3.125, 0.8800287356321839,
27, 190399, 0, 1.8907662330159296, 3.125, 1.6728624535315983,
28, 82399, 0, 0.2730615662811442, 3.125, 0.20988805970149255,
