LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 2.9988888623384073, 1.194771679132118e-05, 0.999629620779469, 3.0018611539154274, 0.04054054054054054, 1.1670478847047885,
1, 2.9955780264367453, 0.0015215392905823058, 31.95283228199195, 2.869209934352477, 1.2972972972972974, 32.17566791151968,
2, 31.950392311758662, 0.000527966030665587, 0.9984497597424582, 31.893330522543412, 5.405405405405405, 1.023377774170201,
3, 31.95038176881101, 0.016894907406338033, 31.95038176881101, 31.919163015998546, 0.024093346659965705, 31.956518625256525,
4, 31.80557970625708, 0.06619267368627904, 31.80557970625708, 31.653751849898896, 0.0929145403996777, 31.813763980649192,
5, 31.79587098604377, 0.0694944246672632, 31.79587098604377, 31.766971332483525, 0.07753813395848454, 31.798697746457268,
6, 31.795881775284546, 0.0021717015077716375, 0.993621305477642, 31.72816196727173, 8.672086720867208, 1.018730722211283,
7, 31.808765700607946, 0.06514435215484507, 31.808765700607946, 31.372425990486313, 9.660377358490566, 31.963046865635864,
8, 31.2116152335917, 0.008387964319696775, 0.9753629760497406, 30.93076477479654, 8.672086720867208, 1.0822921392757012,
9, 31.18571710399198, 0.2772063742577065, 31.18571710399198, 31.15919930054089, 0.28000490828916386, 31.186540183450973,
10, 31.185748762518628, 0.008662707989588507, 0.9745546488287071, 31.045564486245762, 9.63855421686747, 1.0263504123042713,
11, 31.185748762518628, 0.008662707989588507, 0.9745546488287071, 31.045564486245762, 9.63855421686747, 1.0263504123042713,
12, 29.46042481242735, 0.027052731691852478, 0.9206382753883546, 20.316515539021932, 3.4594594594594597, 31.912087912087912,
13, 29.309686030341783, 0.9159276884481807, 29.309686030341783, 28.774029787263235, 1.0626626561701922, 29.39762118366088,
14, 29.311119807681557, 0.02862414043718902, 0.9159724939900487, 24.690967316567768, 6.918918918918919, 32.0,
15, 28.5741132520309, 0.036446573025549614, 0.8929410391259657, 28.31339068314745, 9.645817633760362, 1.010282213252845,
16, 29.309583623042062, 0.9159244882200644, 29.309583623042062, 29.01859366189631, 0.9219612215254649, 29.3798034490971,
17, 29.311119807681557, 0.02862414043718902, 0.9159724939900487, 24.690967316567768, 6.918918918918919, 32.0,
18, 29.311119807681557, 0.02862414043718902, 0.9159724939900487, 24.690967316567768, 6.918918918918919, 32.0,
19, 29.309583623042062, 0.9159244882200644, 29.309583623042062, 29.01859366189631, 0.9219612215254649, 29.3798034490971,
20, 28.5741132520309, 0.036446573025549614, 0.8929410391259657, 28.31339068314745, 9.645817633760362, 1.010282213252845,
21, 29.311119807681557, 0.02862414043718902, 0.9159724939900487, 24.690967316567768, 6.918918918918919, 32.0,
22, 28.5741132520309, 0.036446573025549614, 0.8929410391259657, 28.31339068314745, 9.645817633760362, 1.010282213252845,
23, 29.309583623042062, 0.9159244882200644, 29.309583623042062, 29.01859366189631, 0.9219612215254649, 29.3798034490971,
24, 22.570709801800955, 0.10031426578578202, 0.7053346813062799, 21.388014158427925, 9.645817633760362, 1.1868046401265488,
25, 23.405844898688052, 2.9257306123360065, 23.405844898688052, 23.09880439032718, 2.9165674614212125, 23.498991540142306,
26, 10.965130814080542, 0.22377817987919474, 0.34266033794001693, 10.072188281741912, 9.922480620155039, 5.7204724409448815,
27, 19.36144622608312, 0.13445448768113277, 0.6050451945650975, 19.00558866593801, 9.922480620155039, 0.8894506495411144,
28, 2.7961504387189167, 0.3106833820798796, 0.08737970120996615, 2.4497913581908737, 9.922480620155039, 32.0,
