LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 5.940703185274992, 11.908900534052083, 12.932142988353723, 0.7824410041391173, 11.890592590122386, 12.962595578290504,
1, 6.419397126663023, 12.962074856581577, 12.838794253326046, 2.373432758306623, 12.938783296072762, 12.868274276958438,
2, 6.419397126663023, 12.962074856581577, 12.838794253326046, 2.373432758306623, 12.938783296072762, 12.868274276958438,
3, 6.419397126663023, 12.962074856581577, 12.838794253326046, 2.373432758306623, 12.938783296072762, 12.868274276958438,
4, 6.419397126663023, 12.962074856581577, 12.838794253326046, 2.373432758306623, 12.938783296072762, 12.868274276958438,
5, 4.5204056096657625, 18.450635141492906, 18.08162243866305, 2.3595515028423666, 18.31423944039824, 18.130025894774874,
6, 4.429181620152085, 18.450555388089157, 17.71672648060834, 1.196505552515918, 18.390516845524584, 17.74364597454972,
7, 4.490197714190373, 18.451989655460082, 17.96079085676149, 4.500493317786349, 9.893719806763285, 18.662419830126538,
8, 4.429181620152085, 18.450555388089157, 17.71672648060834, 1.196505552515918, 18.390516845524584, 17.74364597454972,
9, 4.429181620152085, 18.450555388089157, 17.71672648060834, 1.196505552515918, 18.390516845524584, 17.74364597454972,
10, 2.5600290252723954, 23.405979659633328, 20.480232202179163, 2.242116559352815, 23.213322688376383, 20.520368519107556,
11, 2.633163755267899, 23.405900046825767, 21.065310042143192, 1.719030127534833, 23.27952448236938, 21.094184124360236,
12, 2.5716581837664076, 23.407804268238234, 20.57326547013126, 3.311072984030619, 22.02705654986976, 20.895085237577078,
13, 2.633163755267899, 23.405900046825767, 21.065310042143192, 1.719030127534833, 23.27952448236938, 21.094184124360236,
14, 2.633163755267899, 23.405900046825767, 21.065310042143192, 1.719030127534833, 23.27952448236938, 21.094184124360236,
15, 1.2937441985721325, 27.036613455874768, 20.69990717715412, 1.2952821115622997, 26.81658122961161, 20.718544261693392,
16, 1.3201471414001351, 27.036613455874768, 21.122354262402162, 1.3718368562072045, 26.81658122961161, 21.16005234820742,
17, 1.6899432697266632, 27.03909231562661, 27.03909231562661, 1.6531365313653137, 25.213426950081754, 27.71991964474519,
18, 1.3201471414001351, 27.036613455874768, 21.122354262402162, 1.3718368562072045, 26.81658122961161, 21.16005234820742,
19, 1.3201471414001351, 27.036613455874768, 21.122354262402162, 1.3718368562072045, 26.81658122961161, 21.16005234820742,
20, 0.029252128206593155, 29.252128206593156, 0.9141290064560361, 9.142857142857142, 28.195385208436587, 2.111842971940456,
